title,url,date,snippet
"ENDSARS/#EndInsecurityNow protests, a national wake up call – Middle Belt group",https://www.vanguardngr.com/2020/10/endsars-endinsecuritynow-protests-a-national-wake-up-call-middle-belt-group/,30-Oct-20,
#EndSARS Panel of Inquiry: Group says affected Police lives matter,https://www.vanguardngr.com/2020/10/endsars-panel-of-inquiry-group-says-affected-police-lives-matter/,30-Oct-20,"…calls for free legal services to murdered, injured Police personnel By Gabriel Ewepu AS various Panels of Inquiry commence hearing across the states on activities of the defunct Federal Special Anti-Robbery Squad, F-SARS, a Civil Society Organisation, CSO, Citizens Action for Good Governance, CAGG, Thursday, declared that ‘Police Lives Matter’ in the spirit of fair […]"
"#EndSARS Protests: Activists restrategise, issue fresh demands to govt",https://www.vanguardngr.com/2020/10/endsars-protests-activists-restrategise-issue-fresh-demands-to-govt/,30-Oct-20,"By Bose Adelaja In the wake of the fallout of the EndSARS Protests across Nigeria, a coalition of human right activists has re-strategised on way forward and issued a fresh seven-point agenda to the federal government. The coalition rose from its one-day meeting in Lagos under the aegies of New Nigeria Network (NNN) comprises Radical […]"
"#EndSARS Protest: Lagos Assembly to inspect razed police stations, others",https://www.vanguardngr.com/2020/10/endsars-protest-lagos-assembly-to-inspect-razed-police-stations-others/,30-Oct-20,
#ENDSARS Protest: Panel discovers five bullet shells at Lekki tollgate,https://www.vanguardngr.com/2020/10/endsars-protest-panel-discovers-five-bullet-shells-at-lekki-tollgate/,30-Oct-20,
#EndSARS protests call for fairness in governance — South-West SDP,https://www.vanguardngr.com/2020/10/endsars-protests-call-for-fairness-in-governance-south-west-sdp/,30-Oct-20,
#EndSARS: Burna Boy dedicates new single ’20 10 20′ to victims,https://www.vanguardngr.com/2020/10/endsars-burna-boy-dedicates-new-single-20-10-20-to-victims/,30-Oct-20,
#EndSARS: Inside Buhari’s parley with former heads of state by Femi Adesina,https://www.vanguardngr.com/2020/10/endsars-inside-buharis-parley-with-former-heads-of-state-by-femi-adesina/,30-Oct-20,
#EndSARS: Lagos panel invites LCC MD to testify about October 20 incident,https://www.vanguardngr.com/2020/10/endsars-lagos-panel-invites-lcc-md-to-testify-about-october-20-incident/,30-Oct-20,
"#EndSARS PROTEST: Nigeria sitting on time bomb — Unagha, Ex-Presidential aspirant",https://www.vanguardngr.com/2020/10/endsars-protest-nigeria-sitting-on-time-bomb-unagha-ex-presidential-aspirant/,30-Oct-20,
#EndSARS: No leader will be spared in next protest — Prof Hogan,https://www.vanguardngr.com/2020/10/endsars-no-leader-will-be-spared-in-next-protest-prof-hogan/,30-Oct-20,
"Osun #EndSARS protesters disown Bakare, Sowore’s associate",https://www.vanguardngr.com/2020/10/osun-endsars-protesters-disown-bakare-sowores-associate/,30-Oct-20,
"#EndSARS hoodlums killed 22 police personnel, destroyed 205 stations ― IGP",https://www.vanguardngr.com/2020/10/endsars-hoodlums-killed-22-police-personnel-destroyed-205-stations-%e2%80%95-igp/,30-Oct-20,
How supporters of #ENDSARS’ bank accounts have been frozen,https://www.vanguardngr.com/2020/10/how-supporters-of-endsars-bank-accounts-have-been-frozen/,30-Oct-20,
WIC: Why EndSARS protests escalated,https://www.vanguardngr.com/2020/10/wic-why-endsars-protests-escalated/,30-Oct-20,
Stop the criminals now!,https://www.vanguardngr.com/2020/10/stop-the-criminals-now/,30-Oct-20,"There is absolutely no further justification to continue condoning the activities of the so-called “palliatives” looters. Enough is enough! Over one week since ‘unknown’ soldiers marched to the Lekki Toll Gate, Lagos venue of the EndSARS protest and shot at unarmed youth, incidents of looting are still being reported in some parts of the country. […]"
#EndSARS: Between trust deficit and tears of fury,https://www.vanguardngr.com/2020/10/endsars-between-trust-deficit-and-tears-of-fury/,30-Oct-20,
#EndSARS: LCCI reschedules Lagos International Trade Fair,https://www.vanguardngr.com/2020/10/endsars-lcci-reschedules-lagos-international-trade-fair/,30-Oct-20,
#EndSARS: LCCI postpones 2020 Lagos Trade Fair,https://www.vanguardngr.com/2020/10/endsars-lcci-postpones-2020-lagos-trade-fair/,30-Oct-20,
"#EndSARS: Instigators of violent protests, killing of policemen must appear before ICC, human rights group vow",https://www.vanguardngr.com/2020/10/endsars-instigators-of-violent-protests-killing-of-policemen-must-appear-before-icc-human-rights-group-vow/,30-Oct-20,"The Global Network for Human Rights (GNHR) has vowed to drag instigators of violence that led to the killing of policemen and destruction of properties during the EndSARS protests to the International Criminal Court, ICC. The group, at a press conference on Friday in Abuja, said these individuals must be brought to justice for their […]"
ICC verdict and EndSARS killings,https://www.vanguardngr.com/2020/10/icc-verdict-and-endsars-killings/,30-Oct-20,
"EndSARS protest: Yoruba Youth urges rapid police reform from IGP, sues for peace",https://www.vanguardngr.com/2020/10/endsars-protest-yoruba-youth-urges-rapid-police-reform-from-igp-sues-for-peace/,30-Oct-20,
