source,url,title,date_published,matched_keywords,snippet,scraped_at
vanguardngr.com,https://www.vanguardngr.com/2025/11/uk-court-jails-nigerian-postgraduate-student-for-raping-teenager/,UK court jails Nigerian postgraduate student for raping teenager,2025-11-04T10:51:25+00:00,rape,"...here he lured the girl inside, locked her in a bathroom and raped her. The victim managed to flee after the assault and...",2025-11-14T03:54:22.383179
vanguardngr.com,https://www.vanguardngr.com/2025/11/ned-nwoko-irresponsibility-is-thy-name-by-ikechukwu-amaechi/,Ned Nwoko: Irresponsibility is thy name! By Ikechukwu Amaechi,2025-11-13T00:24:00+00:00,sexual assault,"...other.    While Regina is accusing the estranged husband of sexual assault, confinement and medical manipulation, Ned Nw...",2025-11-14T03:55:06.465930
dailypost.ng,https://dailypost.ng/2025/11/13/court-to-rule-on-bail-application-of-man-accused-of-defiling-daughter/,Court to rule on bail application of man accused of defiling daughter,2025-11-13T18:04:26+00:00,defilement; rape,"...nding bills proposing stricter penalties for defilement and rape, including the death penalty, to deter future offenders...",2025-11-14T04:07:52.722024
